recipe_id,ingredient_id,amount,measure,preparation,,,,,,,
3,11,10,oz,,,,,,,,3
3,12,6,oz,,,,,,,,4
3,13,3,cloves,,,,,,,,5
3,14,1,,,,,,,,,6
3,15,1/2,lb,,,,,,,,7
3,16,2,tbsp,,,,,,,,8
3,17,2,tbsp,,,,,,,,9
3,18,1/4,tsp,,,,,,,,10
4,19,6,oz,,,,,,,,11
4,20,3,oz,,,,,,,,12
4,21,4,oz,,,,,,,,13
4,22,3/4,cup,,,,,,,,14
4,23,1,bunch,,,,,,,,15
4,24,3,tbsp,,,,,,,,16
4,25,2,tbsp,,,,,,,,17
4,26,1,,,,,,,,,18
4,27,1,tbsp,,,,,,,,19
5,28,2,,,,,,,,,20
5,29,3/4,cup,,,,,,,,21
5,30,2,,,,,,,,,22
5,31,3,,,,,,,,,23
5,32,2,,,,,,,,,24
5,33,2,cloves,,,,,,,,25
5,34,1,oz,,,,,,,,26
5,35,1/4,cup,,,,,,,,27
5,36,2,tbsp,,,,,,,,28
5,37,2,tbsp,,,,,,,,29
5,38,1,tbsp,,,,,,,,30
5,39,1,tbsp,,,,,,,,31
6,43,10,oz,,,,,,,,32
6,44,4,oz,,,,,,,,33
6,45,2,,,,,,,,,34
6,46,1,lb,,,,,,,,35
6,47,1,stalk,,,,,,,,36
6,48,1,bunch,,,,,,,,37
6,49,2,tbsp,,,,,,,,38
6,50,2,tbsp,,,,,,,,39
6,51,1,tbsp,,,,,,,,40
6,52,1,tbsp,,,,,,,,41
7,53,2,,,,,,,,,42
7,54,1/2,Cup,,,,,,,,43
7,55,1,,,,,,,,,
7,56,1/2,lb,,,,,,,,
7,57,1,1-inch,,,,,,,,
7,58,1,,,,,,,,,
7,59,1,tbsp,,,,,,,,
7,60,1,tbsp,,,,,,,,
8,63,1,cup,,,,,,,,
8,40,2,tbsp,,,,,,,,
8,41,1,tbsp,,,,,,,,
8,42,1/4,tsp,,,,,,,,
8,61,1,cup,,,,,,,,
8,62,2,,,,,,,,,
8,64,1,,,,,,,,,
8,65,1/2,lb,,,,,,,,
8,66,1,,,,,,,,,
9,67,2,,,,,,,,,
9,68,8,,,,,,,,,
9,69,3,oz,,,,,,,,
9,70,2,Cloves,,,,,,,,
9,71,1,,,,,,,,,
9,72,1/2,bunch,,,,,,,,
9,73,2,tbsp,,,,,,,,
9,74,1,tbsp,,,,,,,,
9,75,1/4,cup,,,,,,,,
10,76,10,oz,,,,,,,,
10,77,1/2,lb,,,,,,,,
10,78,3,Cloves,,,,,,,,
10,79,2,,,,,,,,,
10,80,1,bunch,,,,,,,,
10,81,1,,,,,,,,,
10,82,2,tbsp,,,,,,,,
10,83,1/4,tsp,,,,,,,,
11,84,6,oz,,,,,,,,
11,85,4,oz,,,,,,,,
11,86,2,Cloves,,,,,,,,
11,87,2,,,,,,,,,
11,88,1,,,,,,,,,
11,89,l,bunch,,,,,,,,
11,90,2,tbsp,,,,,,,,
11,91,2,tbsp,,,,,,,,
11,92,1,,,,,,,,,
12,93,2,,,,,,,,,
12,94,1/2,cup,,,,,,,,
12,95,1,,,,,,,,,
12,96,1/2,bunch,,,,,,,,
12,97,3,tbsp,,,,,,,,
12,98,1 1/2,tbsp,,,,,,,,
12,99,1,1-inch piece,,,,,,,,
12,100,1,,,,,,,,,
12,101,1,tbsp,,,,,,,,
12,102,1,tbsp,,,,,,,,
12,103,1/4,cup,,,,,,,,
13,104,6,,,,,,,,,
13,105,2,oz,,,,,,,,
13,106,3,Cloves,,,,,,,,
13,107,1,,,,,,,,,
13,108,1,,,,,,,,,
13,109,1,,,,,,,,,
13,110,1,,,,,,,,,
13,111,1,bunch,,,,,,,,
13,112,1,,,,,,,,,
13,113,1/4,cup,,,,,,,,
13,114,1,tbsp,,,,,,,,
14,115,2,,,,,,,,,
14,116,4,oz,,,,,,,,
14,117,1,,,,,,,,,
14,118,1,,,,,,,,,
14,119,1,,,,,,,,,
14,120,1,,,,,,,,,
14,121,1,bunch,,,,,,,,
14,122,2,tbsp,,,,,,,,
14,123,1,tsp,,,,,,,,
15,124,6,oz,,,,,,,,
15,125,3,oz,,,,,,,,
15,126,3/4,cup,,,,,,,,
15,127,4,Cloves,,,,,,,,
15,128,1,,,,,,,,,
15,129,1,,,,,,,,,
15,130,1,,,,,,,,,
15,131,1,bunch,,,,,,,,
15,132,2,tbsp,,,,,,,,
15,133,2,tbsp,,,,,,,,
15,134,1/4,cup,,,,,,,,
16,135,2,,,,,,,,,
16,136,3/4,cup,,,,,,,,
16,137,4,oz,,,,,,,,
16,138,3,Cloves,,,,,,,,
16,139,1,,,,,,,,,
16,140,1,bunch,,,,,,,,
16,141,3,tbsp,,,,,,,,
16,142,1,1-inch piece,,,,,,,,
16,143,1/4,cup,,,,,,,,
16,144,2,tbsp,,,,,,,,
16,145,2,tsp,,,,,,,,
17,146,2,,,,,,,,,
17,147,3,Cloves,,,,,,,,
17,148,2 1/2,oz,,,,,,,,
17,149,1,,,,,,,,,
17,150,3/4,lb,,,,,,,,
17,151,1,bunch,,,,,,,,
17,152,2,tbsp,,,,,,,,
17,153,2,tbsp,,,,,,,,
17,154,1,,,,,,,,,
18,155,2,,,,,,,,,
18,156,1/2,cup,,,,,,,,
18,157,2,,,,,,,,,
18,158,1,bunch,,,,,,,,
18,159,1,,,,,,,,,
18,160,1,,,,,,,,,
18,161,2,tbsp,,,,,,,,
18,162,2,tbsp,,,,,,,,
19,163,2,tbsp,,,,,,,,
19,164,4,,,,,,,,,
19,165,4,oz,,,,,,,,
19,166,6,oz,,,,,,,,
19,167,2,oz,,,,,,,,
19,168,1,,,,,,,,,
19,169,3,tbsp,,,,,,,,
19,170,2,tbsp,,,,,,,,
19,171,2,tbsp,,,,,,,,
19,172,1,tbsp,,,,,,,,
19,173,1,tbsp,,,,,,,,
20,174,2,,,,,,,,,
20,175,2,,,,,,,,,
20,176,3,Cloves,,,,,,,,
20,177,2,oz,,,,,,,,
20,178,1,bunch,,,,,,,,
20,179,1,,,,,,,,,
20,180,1/2,lb,,,,,,,,
20,181,1,bunch,,,,,,,,
20,182,1,,,,,,,,,
20,183,1/4,cup,,,,,,,,
21,184,8,,,,,,,,,
21,186,6,oz,,,,,,,,
21,187,1,bunch,,,,,,,,
21,188,1/2,bunch,,,,,,,,
21,189,1,bunch,,,,,,,,
21,190,2,tbsp,,,,,,,,
21,191,2,tbsp,,,,,,,,
21,192,1/8,tsp,,,,,,,,
22,193,2,,,,,,,,,
22,194,2,,,,,,,,,
22,195,4,Cloves,,,,,,,,
22,196,4,oz,,,,,,,,
22,197,1,Head,,,,,,,,
22,198,1,Pink,,,,,,,,
22,199,1,,,,,,,,,
22,200,3,tbsp,,,,,,,,
22,201,2,tbsp,,,,,,,,
22,202,1,,,,,,,,,
23,203,2,,,,,,,,,
23,204,3/4,lb,,,,,,,,
23,205,1/2,lb,,,,,,,,
23,206,2,tbsp,,,,,,,,
23,207,2,tbsp,,,,,,,,
23,208,1,tbsp,,,,,,,,
23,209,1,tbsp,,,,,,,,
23,210,1,tbsp,,,,,,,,
23,211,1,tbsp,,,,,,,,
24,185,2,,,,,,,,,
24,212,1/2,Cup,,,,,,,,
24,213,3,Cloves,,,,,,,,
24,214,1,Bunch,,,,,,,,
24,215,1,,,,,,,,,
24,216,1,Bunch,,,,,,,,
24,217,2,tbsp,,,,,,,,
24,218,1,oz,,,,,,,,
24,219,1/4,Cup,,,,,,,,
24,220,2,tsp,,,,,,,,
25,221,1,lb,,,,,,,,
25,222,1,15-oz Can,,,,,,,,
25,223,4,oz,,,,,,,,
25,224,1/2,Cup,,,,,,,,
25,225,4,oz,,,,,,,,
25,226,3,Cloves,,,,,,,,
25,227,1/2,Bunch,,,,,,,,
25,228,2,tbsp,,,,,,,,
25,229,1/4,Cup,,,,,,,,
25,230,2,tsp,,,,,,,,
26,231,2,,,,,,,,,
26,232,2,,,,,,,,,
26,233,3,Cloves,,,,,,,,
26,234,1 1/2,oz,,,,,,,,
26,235,1,,,,,,,,,
26,236,1/2,lb,,,,,,,,
26,237,1/2,Bunch,,,,,,,,
26,238,1,,,,,,,,,
26,239,1/2,Cup,,,,,,,,
26,240,1/4,Cup,,,,,,,,
26,241,1/4,Cup,,,,,,,,
27,242,2,,,,,,,,,
27,243,2,Cloves,,,,,,,,
27,244,1,Bunch,,,,,,,,
27,245,3/4,lb,,,,,,,,
27,246,2,tbsp,,,,,,,,
27,247,1,tbsp,,,,,,,,
27,248,1,tbsp,,,,,,,,
27,249,1/2,tsp,,,,,,,,
27,250,1/4,Cup,,,,,,,,
28,251,2,,,,,,,,,
28,252,3/4,lb,,,,,,,,
28,253,2,oz,,,,,,,,
28,254,1,,,,,,,,,
28,255,2,tbsp,,,,,,,,
28,256,1,,,,,,,,,
28,257,1,tbsp,,,,,,,,
28,258,1,tbsp,,,,,,,,
28,259,1/3,Cup,,,,,,,,
29,260,4,,,,,,,,,
29,261,3/4,Cup,,,,,,,,
29,262,1 3/4,Cups,,,,,,,,
29,263,3,Cloves,,,,,,,,
29,264,1,Bunch,,,,,,,,
29,265,1,,,,,,,,,
29,266,1,Bunch,,,,,,,,
29,267,2,tbsp,,,,,,,,
29,268,1,tbsp,,,,,,,,
29,269,2,tsp,,,,,,,,
30,270,10,oz,,,,,,,,
30,271,5,oz,,,,,,,,
30,272,6,oz,,,,,,,,
30,273,3,Cloves,,,,,,,,
30,274,1,,,,,,,,,
30,275,1,Bunch,,,,,,,,
30,276,2,tbsp,,,,,,,,
30,277,1,tbsp,,,,,,,,
30,278,1/4,Cup,,,,,,,,
30,279,1/4,tsp,,,,,,,,
31,280,1/2,lb,,,,,,,,
31,281,3,Cloves,,,,,,,,
31,282,1,Bunch,,,,,,,,
31,283,1,,,,,,,,,
31,284,1,,,,,,,,,
31,285,1,Bunch,,,,,,,,
31,286,3,tbsp,,,,,,,,
31,287,2,tbsp,,,,,,,,
31,288,1/3,Cup,,,,,,,,
31,289,1/4,Cup,,,,,,,,
32,290,12,,,,,,,,,
32,291,6,oz,,,,,,,,
32,292,6,oz,,,,,,,,
32,293,6,oz,,,,,,,,
32,294,3,Cloves,,,,,,,,
32,295,1,,,,,,,,,
32,296,3,tbsp,,,,,,,,
32,297,2,tbsp,,,,,,,,
32,298,1,tbsp,,,,,,,,
32,299,1,1-inch Piece,,,,,,,,
33,300,10,oz,,,,,,,,
33,301,1/2,Cup,,,,,,,,
33,302,1,,,,,,,,,
33,303,4,oz,,,,,,,,
33,304,2,Cloves,,,,,,,,
33,305,2,,,,,,,,,
33,306,1,,,,,,,,,
33,307,2,tbsp,,,,,,,,
33,308,2,tbsp,,,,,,,,
33,309,2,tsp,,,,,,,,
34,310,10,0z,,,,,,,,
34,311,3/4,Cup,,,,,,,,
34,312,1,14-oz Can,,,,,,,,
34,313,4,Cloves,,,,,,,,
34,314,1/2,Bunch,,,,,,,,
34,315,2,tbsp,,,,,,,,
34,316,2,tbsp,,,,,,,,
34,317,1/2,Cup,,,,,,,,
34,318,2,tsp,,,,,,,,
35,319,1,,,,,,,,,
35,320,1,,,,,,,,,
35,321,3/4,lb,,,,,,,,
35,322,1/2,lb,,,,,,,,
35,323,1/2,Bunch,,,,,,,,
35,324,1,oz,,,,,,,,
35,325,1/4,Cup,,,,,,,,
36,326,2,oz,,,,,,,,
36,327,2,,,,,,,,,
36,328,2,Cloves,,,,,,,,
36,329,1,,,,,,,,,
36,330,1,lb,,,,,,,,
36,331,1,,,,,,,,,
36,332,3,tbsp,,,,,,,,
36,333,2,tbsp,,,,,,,,
36,334,1 1/2,tbsp,,,,,,,,
36,335,1,tbsp,,,,,,,,
36,336,1/2,oz,,,,,,,,
36,337,2,tbsp,,,,,,,,
37,338,1/2,lb,,,,,,,,
37,339,1,14-oz can,,,,,,,,
37,340,4,oz,,,,,,,,
37,341,2,Cloves,,,,,,,,
37,342,2,,,,,,,,,
37,343,1,,,,,,,,,
37,344,1,oz,,,,,,,,
37,345,1/4,Cup,,,,,,,,
37,346,1/4,tsp,,,,,,,,
38,347,2,,,,,,,,,
38,348,1/2,Cup,,,,,,,,
38,349,3,Cloves,,,,,,,,
38,350,1,,,,,,,,,
38,351,1,Bunch,,,,,,,,
38,352,1,oz,,,,,,,,
38,353,1/4,Cup,,,,,,,,
39,354,1,lb,,,,,,,,
39,355,1,8-oz can,,,,,,,,
39,356,1,Bunch,,,,,,,,
39,357,2,Cloves,,,,,,,,
39,358,1,,,,,,,,,
39,359,3/4,lb,,,,,,,,
39,360,4,oz,,,,,,,,
39,361,1,,,,,,,,,
39,362,2,oz,,,,,,,,
39,363,1/4,tsp,,,,,,,,
39,364,2,tbsp,,,,,,,,
39,365,1,oz,,,,,,,,
40,366,1,Half,,,,,,,,
40,367,6,,,,,,,,,
40,368,3,Cloves,,,,,,,,
40,369,2,,,,,,,,,
40,370,1,tbsp,,,,,,,,
40,371,1 1/2,tsp,,,,,,,,
41,372,1 1/2,Cups,,,,,,,,
41,373,2,,,,,,,,,
41,374,1,Bunch,,,,,,,,
41,375,1,Clove,,,,,,,,
41,376,1,,,,,,,,,
41,377,3,,,,,,,,,
41,378,3,tbsp,,,,,,,,
41,379,2,tbsp,,,,,,,,
41,380,2,tbsp,,,,,,,,
41,381,2,tsp,,,,,,,,
42,382,10,oz,,,,,,,,
42,383,5,oz,,,,,,,,
42,384,1,8-oz can,,,,,,,,
42,385,3,,,,,,,,,
42,386,1,Head,,,,,,,,
42,387,1,,,,,,,,,
42,388,3,Cloves,,,,,,,,
42,389,2,tbsp,,,,,,,,
42,390,1,tbsp,,,,,,,,
42,391,1,,,,,,,,,
42,392,1,tbsp,,,,,,,,
43,393,2,,,,,,,,,
43,394,1,Cup,,,,,,,,
43,395,3,Cloves,,,,,,,,
43,396,1,,,,,,,,,
43,397,1,Bunch,,,,,,,,
43,398,1/2,lb,,,,,,,,
43,399,2,tbsp,,,,,,,,
43,400,2,tbsp,,,,,,,,
43,401,1,,,,,,,,,
43,402,1 1/2,tbsp;,,,,,,,,